성산, ,18.6, , ,23.9,21.2,26.7,26.6,85,북북동,,1007.4
세종, ,18.3, , ,25.5,15.7,26.1, ,55,동남동,,1009.1
속초, ,20 이상, , ,24.8,19.6,26.8, ,73,북북동,,1011.8
수원,맑음,19.9,1,1,26.1,17.9,27.1, ,61,동남동,,1009.5
순창군, ,17.0, , ,23.4,19.1,25.6,0.4,77,동,,1008.8
순천, ,20 이상, , ,22.9,19.6,25.5,0.0,82,북동,,1007.4
안동,흐림,20 이상,10,7,23.9,15.9,24.9, ,61,동남동,,1010.5
양산시, ,15.6, , ,23.8,19.9,26.2, ,79,북동,,1008.7
양평, ,17.1, , ,25.2,16.0,25.9, ,57,동,,1010.7
여수,흐림,20 이상,10,2,22.5,18.6,24.8,1.7,79,동북동,,1008.2
영광군, ,18.1, , ,24.6,20.2,26.8,6.1,77,북북동,,1008.5
영덕, ,20 이상, , ,22.7,17.3,24.6, ,72,북동,,1010.6
영월, ,20 이상, , ,26.2,17.2,27.0, ,58,동북동,,1009.7
영주, ,20 이상, , ,23.6,16.1,24.8, ,63,남,,1010.2
영천, ,20 이상, , ,23.1,18.2,25.1,1.9,74,동,,1010.4
완도, ,3.9, , ,21.6,20.7,25.0,3.0,95,북북동,,1008.6
울릉도,비 끝,20 이상,9,6,22.1,18.8,24.6,0.0,82,동,,1010.3
울산,약한 비 단속적,11.2,10,8,21.3,20.9,24.9,1.3,98,북북동,,1009.4
울진, ,19.6, , ,24.9,19.4,26.8, ,72,북북서,,1011.3
원주, ,19.2, , ,24.5,15.1,25.2, ,56,북서,,1009.5
의령군, ,4.1, , ,22.0,19.9,25.0,1.3,88, ,,1009.5
의성, ,20 이상, , ,22.5,17.6,24.5,0.0,74,북동,,1009.3
이천, ,19.8, , ,25.7,18.8,27.1, ,66,동,,1010.2
인제, ,20 이상, , ,23.5,14.7,24.3, ,58,동,,1010.7
인천,구름조금,20 이상,3,3,25.9,14.3,25.9, ,49,동남동,,1009.3
임실, ,20 이상, , ,23.0,18.3,25.1,3.1,75,남남동,,1008.6
장수, ,20 이상, , ,21.3,18.6,24.0,1.4,85,북북서,,1008.6
장흥, ,20 이상, , ,22.4,20.8,25.6,1.0,91,서남서,,1008.2
전주,구름조금,20 이상,5,5,25.0,17.9,26.4,0.2,65,북동,,1008.5
정선군, ,13.2, , ,25.2,12.4,24.9, ,45,동남동,,1010.3
정읍, ,20 이상, , ,24.0,19.9,26.3,2.8,78,남동,,1008.2
제주,비 끝,20 이상,9,9,24.1,23.4,27.7,21.8,96,동북동,,1007.9
제천, ,20 이상, , ,24.5,15.9,25.4, ,59,동남동,,1010.0
진도군, ,20 이상, , ,23.9,21.2,26.7,1.6,85,동북동,,1007.6
진주, ,20 이상, , ,21.1,19.3,24.2,0.5,90,북서,,1009.6
창원,흐림,20 이상,10,9,22.8,17.9,24.8,0.1,74,북동,,1008.6
천안, ,20 이상, , ,24.6,16.5,25.6, ,61,동,,1010.3
철원, ,20 이상, , ,25.2,16.8,26.2, ,60,북북동,,1010.2
청송군, ,20 이상, , ,22.3,17.0,24.2,0.5,72,북,,1010.6
청주,맑음,20 이상,1,1,26.6,16.5,27.1, ,54,동북동,,1009.4
추풍령, ,20 이상, , ,20.9,17.5,23.4,0.1,81,동,,1009.9
춘천, ,19.7, , ,25.3,15.0,25.7, ,53,북북동,,1010.4
충주, ,19.5, , ,25.5,17.6,26.6, ,62,동남동,,1009.7
태백, ,20 이상, , ,17.7,14.0,20.0,0.8,79,동북동,,1010.4
통영, ,20 이상, , ,24.0,20.1,26.4,5.7,79,북,,1008.7
파주, ,20 이상, , ,24.8,19.6,26.8, ,73,북동,,1010.5
포항,약한 비 단속적,13.1,10,8,22.1,19.4,24.8,0.5,85,북동,,1010.5
함양군, ,20 이상, , ,20.7,18.0,23.4,1.4,85,동북동,,1010.0
합천, ,20 이상, , ,21.4,19.8,24.5,3.1,91,북동,,1009.8
해남, ,15.2, , ,22.4,20.6,25.5,0.5,90,동,,1008.5
홍성,맑음,20 이상,0,0,25.2,18.6,26.7, ,67,북북동,,1009.3
홍천, ,20 이상, , ,25.0,14.7,25.4, ,53,북동,,1010.3
흑산도,구름많음,20 이상,6,6,25.5,22.3,28.2,0.7,83,북북동,,1008.3
